,Timestamp,year,is_hotdog_sandwich
132,2025-08-31 19:03:30.825,4,False
133,2025-08-31 19:04:20.252,4,False
134,2025-08-31 19:30:35.725,4,False
135,2025-08-31 19:50:52.740,4,False
136,2025-08-31 20:51:18.352,4,True
137,2025-08-31 20:58:48.126,3,False
138,2025-08-31 21:06:04.128,4,False
139,2025-08-31 21:06:12.012,4,False
140,2025-08-31 21:21:51.514,4,False
141,2025-08-31 21:26:35.852,4,False
142,2025-08-31 21:44:08.363,4,False
143,2025-08-31 22:07:39.146,3,False
144,2025-08-31 22:12:18.801,2,False
145,2025-08-31 22:21:53.131,4,False
146,2025-08-31 22:24:41.830,4,True
147,2025-08-31 22:32:07.731,4,False
148,2025-08-31 22:33:11.158,4,False
149,2025-08-31 22:41:58.090,4,True
150,2025-08-31 23:04:45.664,4,False
151,2025-08-31 23:06:20.477,4,False
152,2025-08-31 23:06:48.012,4,True
153,2025-08-31 23:06:57.523,4,False
154,2025-08-31 23:08:19.482,4,False
155,2025-08-31 23:09:03.156,4,False
156,2025-08-31 23:11:26.780,4,True
157,2025-08-31 23:12:23.143,4,True
158,2025-08-31 23:14:29.915,4,False
159,2025-08-31 23:32:41.978,4,False
160,2025-08-31 23:35:28.967,4,False
161,2025-08-31 23:47:05.513,4,True
162,2025-09-01 00:44:17.453,3,False
163,2025-09-01 00:46:48.423,4,False
164,2025-09-01 00:50:56.169,4,True
165,2025-09-01 01:11:31.304,4,False
166,2025-09-01 03:21:39.066,2,False
167,2025-09-01 07:26:38.016,4,False
168,2025-09-01 08:58:48.830,4,False
169,2025-09-01 09:00:49.962,4,True
170,2025-09-01 10:05:42.670,3,False
171,2025-09-01 10:06:17.051,2,True
172,2025-09-01 10:06:58.453,2,False
173,2025-09-01 10:07:18.798,3,False
174,2025-09-01 10:07:27.841,2,False
175,2025-09-01 10:09:54.957,2,True
176,2025-09-01 10:12:16.150,2,False
177,2025-09-01 10:22:43.291,4,True
178,2025-09-01 10:22:48.695,4,False
179,2025-09-01 10:23:26.781,2,False
180,2025-09-01 10:28:41.363,4,False
181,2025-09-01 10:30:41.706,2,True
182,2025-09-01 10:30:47.021,3,False
183,2025-09-01 10:30:53.644,3,True
184,2025-09-01 10:30:58.004,4,False
185,2025-09-01 10:31:02.485,1,False
186,2025-09-01 10:36:02.721,4,False
187,2025-09-01 10:37:06.124,2,False
188,2025-09-01 10:47:27.096,3,False
189,2025-09-01 10:55:24.798,4,False
190,2025-09-01 10:56:43.710,4,False
191,2025-09-01 10:57:07.492,2,False
192,2025-09-01 11:26:20.503,3,False
193,2025-09-01 11:28:55.985,4,False
194,2025-09-01 11:31:08.563,4,False
195,2025-09-01 11:44:44.821,4,True
196,2025-09-01 11:50:48.977,4,False
197,2025-09-01 11:51:12.534,2,False
198,2025-09-01 11:52:36.073,3,False
199,2025-09-01 11:56:11.817,4,False
200,2025-09-01 12:07:37.305,4,False
201,2025-09-01 12:10:14.818,4,True
202,2025-09-01 12:11:24.317,4,False
203,2025-09-01 12:13:56.332,3,False
204,2025-09-01 12:18:07.424,4,True
205,2025-09-01 12:18:41.254,2,True
206,2025-09-01 12:18:42.441,4,True
